  4.2349626e-001  2.6444917e-001  8.6563995e-001
  5.1551175e-001  1.6030034e-001  8.3722656e-001
  3.3395148e-001  8.7285526e-001  1.1712891e+000
  4.3290660e-001  2.3788031e-001  8.5734298e-001
  2.2594987e-001  6.4583125e-001  9.4122215e-001
  5.7980687e-001  9.6688742e-001  1.5359175e+000
  7.6036501e-001  6.6493121e-001  1.4204705e+000
  5.2982312e-001  8.7038103e-001  1.4070349e+000
  6.4052650e-001  9.9273048e-003  7.8265941e-001
  2.0906940e-001  1.3700989e-001  8.2838862e-001
  3.7981837e-001  8.1875583e-001  1.1843395e+000
  7.8332865e-001  4.3016605e-001  1.1523763e+000
  6.8084575e-001  8.9032172e-001  1.5529552e+000
  4.6109513e-001  7.3490821e-001  1.2024642e+000
  5.6782871e-001  6.8732359e-001  1.2656517e+000
  7.9421065e-001  3.4611197e-001  1.0556252e+000
  5.9182593e-002  1.6603474e-001  8.3175957e-001
  6.0286909e-001  1.5561258e-001  8.4064999e-001
  5.0268804e-002  1.9111631e-001  8.3215205e-001
  4.1537486e-001  4.2245153e-001  9.3646826e-001
  3.0499868e-001  8.5597571e-001  1.1242932e+000
  8.7436717e-001  4.9024999e-001  1.2982984e+000
  1.5009499e-002  8.1593477e-001  8.4244036e-001
  7.6795039e-001  4.6076983e-001  1.1798711e+000
  9.7084494e-001  4.5735438e-001  1.3227246e+000
  9.9008259e-001  4.5068888e-001  1.3264985e+000
  7.8886169e-001  4.1221906e-001  1.1335484e+000
  4.3865853e-001  9.0160982e-001  1.3274710e+000
  4.9831130e-001  5.5839392e-003  8.0083384e-001
  2.1396333e-001  2.9740568e-001  8.4452875e-001
  6.4349229e-001  4.9162489e-002  7.9477145e-001
  3.2003558e-001  6.9318045e-001  1.0347592e+000
  9.6009860e-001  6.5010641e-001  1.5286056e+000
  7.2663177e-001  9.8298778e-001  1.5760359e+000
  4.1195321e-001  5.5267324e-001  1.0143540e+000
  7.4456578e-001  4.0007352e-001  1.0909101e+000
  2.6794725e-001  1.9878852e-001  8.3430839e-001
  4.3992431e-001  6.2520102e-001  1.0888127e+000
  9.3338011e-001  7.3336280e-001  1.5551131e+000
  6.8333232e-001  3.7588548e-001  1.0297834e+000
  2.1255986e-001  9.8764629e-003  8.2680871e-001
  8.3923824e-001  4.1985781e-001  1.1770723e+000
  6.2878460e-001  7.5366963e-001  1.3959010e+000
  1.3377275e-001  7.9387177e-001  9.2374877e-001
  2.0713273e-001  9.1995721e-001  1.0445275e+000
  6.0719894e-001  8.4472150e-001  1.4629844e+000
  6.2988785e-001  3.6775288e-001  9.9517185e-001
  3.7047683e-001  6.2080133e-001  1.0299251e+000
  5.7514778e-001  7.3127726e-001  1.3185851e+000
  4.5142483e-001  1.9389318e-001  8.4434584e-001
  4.3895325e-002  9.0481233e-001  8.6922873e-001
  2.7185123e-002  5.6920575e-001  8.3966973e-001
  3.1268505e-001  6.3178993e-001  9.9363666e-001
  1.2862575e-002  2.3441296e-001  8.3309205e-001
